Table,Name,Age,PopPersons,PopMales,PopFemales,MainPersons,MainMales,MainFemales
B01,TAMIL NADU,5-9,5600086,2875394,2724692,51137,29727,21410
B01,TAMIL NADU,10-14,6012326,3086803,2925523,253202,142154,111048
B01,TAMIL NADU,15-19,6183767,3135595,3048172,1527808,944840,582968
B01,TAMIL NADU,20-24,5801384,2872914,2928470,2520871,1715705,805166
B01,TAMIL NADU,25-29,5719070,2732907,2986163,3155510,2158793,996717
B01,TAMIL NADU,30-34,4687799,2344412,2343387,2958388,2045269,913119
B01,TAMIL NADU,35-39,4919080,2396927,2522153,3199768,2141568,1058200
B01,TAMIL NADU,40-44,7397214,3821639,3575575,4913148,3426213,1486935
B01,TAMIL NADU,45-49,7397214,3821639,3575575,4913148,3426213,1486935
B01,TAMIL NADU,50-54,5050149,2554847,2495302,3040486,2140922,899564
B01,TAMIL NADU,55-59,5050149,2554847,2495302,3040486,2140922,899564
B01,TAMIL NADU,60-64,3424717,1682719,1741998,1434192,1026247,407945
B01,TAMIL NADU,65-69,3424717,1682719,1741998,1434192,1026247,407945
B01,TAMIL NADU,70-74,1529479,781948,747531,445732,344305,101427
B01,TAMIL NADU,75+,1529479,781948,747531,445732,344305,101427
